,"Aguascalientes, Real de Asientos","Aguascalientes, Calvillo","Aguascalientes, San Jose de Gracia","Baja California, Tecate","Baja California Sur, Todos Santos","Baja California Sur, Loreto","Campeche, Isla Aguada","Campeche, Palizada","Coahuila, Parras de la Fuente","Coahuila, Cuatro Cienegas","Coahuila, Arteaga","Coahuila, Viesca","Coahuila, Candela","Coahuila, Guerrero","Coahuila, Melchor Muzquiz","Colima, Comala","Chiapas, San Cristobal de las Casas","Chiapas, Comitan de Dominguez","Chiapas, Chiapa de Corzo","Chiapas, Palenque","Chihuahua, Creel","Chihuahua, Batopilas","Chihuahua, Casas Grandes","Durango, Mapimi","Durango, Nombre de Dios","Guanajuato, Dolores Hidalgo","Guanajuato, Mineral de Pozos","Guanajuato, Jalpa","Guanajuato, Salvatierra","Guanajuato, Yuriria","Guanajuato, Comonfort","Guerrero, Taxco","Hidalgo, Real del Monte","Hidalgo, Huasca de Ocampo","Hidalgo, Mineral del Chico","Hidalgo, Huichapan","Hidalgo, Tecozautla","Hidalgo, Zempoala","Hidalgo, Zimapan","Jalisco, Mazamitla","Jalisco, Tapalpa","Jalisco, Tequila","Jalisco, San Sebastian del Oeste","Jalisco, Lagos de Moreno","Jalisco, Mascota","Jalisco, Talpa de Allende","Jalisco, Ajijic","Jalisco, Tlaquepaque","Mexico, Malinalco","Mexico, Tepotzotlan","Mexico, Valle de Bravo","Mexico, El Oro","Mexico, Metepec","Mexico, Aculco","Mexico, Ixtapan de la Sal","Mexico, Teotihuacan y San Martin de las Piramides","Mexico, Villa del Carbon","Mexico, Tonatico","Michoacan, Cuitzeo","Michoacan, Patzcuaro","Michoacan, Sta. Clara del Cobre","Michoacan, Tlalpujahua","Michoacan, Angangueo","Michoacan, Tacambaro","Michoacan, Jiquilpan","Michoacan, Tzintzuntzan","Michoacan, Paracho","Morelos, Tepoztlan","Morelos, Tlayacapan","Nayarit, Jala","Nayarit, Sayulita","Nayarit, Compostela","Nayarit, Mexcaltitan","Nuevo Leon, Santiago","Nuevo Leon, Linares","Nuevo Leon, Bustamante","Oaxaca, Capulalpam de Mendez","Oaxaca, Huautla de Jimenez","Oaxaca, Mazunte","Oaxaca, San Pablo Villa de Mitla","Oaxaca, San Pedro y San Pablo Teposcolula","Oaxaca, Santa Catarina Juquila","Puebla, Cuetzalan del Progreso","Puebla, Zacatlan","Puebla, Pahuatlan","Puebla, Chignahuapan","Puebla, Cholula","Puebla, Tlatlauquitepec","Puebla, Xicotepec","Puebla, Atlixco","Puebla, Huahuchinango","Puebla, Tetela de Ocampo","Queretaro, Bernal","Queretaro, Jalpan de Serra","Queretaro, Cadereyta de Montes","Queretaro, Tequisquiapan","Queretaro, San Joaquin","Queretaro, Amealco de Bonfil","Quintana Roo, Bacalar","Quintana Roo, Isla Mujeres ","Quintana Roo, Tulum","San Luis Potosi, Real de Catorce","San Luis Potosi, Xilitla","San Luis Potosi, Santa María del Río","San Luis Potosi, Aquismón","Sinaloa, Cosala","Sinaloa, El Fuerte","Sinaloa, El Rosario","Sinaloa, Mocorito","Sonora, Alamos","Sonora, Magdalena de Kino","Tabasco, Tapijulapa","Tamaulipas, Mier","Tamaulipas, Tula","Tlaxcala, Huamantla","Tlaxcala, Tlaxco","Veracruz, Coatepec","Veracruz, Xico","Veracruz, Papantla","Veracruz, Orizaba","Veracruz, Zozocolco","Veracruz, Coscomatepec","Yucatan, Izamal","Yucatan, Valladolid","Yucatan, Mani","Yucatan, Sisal","Zacatecas, Jerez de Garcia Salinas","Zacatecas, Teul de Gonzalez Ortega","Zacatecas, Sombrerete","Zacatecas, Pinos","Zacatecas, Nochistlan","Zacatecas, Guadalupe"
"Guanajuato, Yuriria",323.26,307.241,308.728,2484.27,1515.061,1792.951,1284.641,1250.411,856.075,965.529,695.606,854.241,915.989,1110.952,1026.819,498.275,1208.021,1297.229,1163.704,1213.742,1471.955,1386.783,1515.067,816.599,614.766,148.442,193.159,181.124,27.239,0.0,110.856,375.64,349.813,368.41,361.101,210.371,207.818,343.998,252.831,297.392,426.314,366.065,550.662,186.531,502.856,500.084,324.339,296.885,307.637,283.361,294.128,164.409,255.978,198.223,313.293,335.974,241.256,315.265,34.069,116.994,128.776,157.401,168.381,165.409,251.83,109.681,176.919,381.052,379.556,436.771,592.244,504.963,617.014,777.366,681.58,867.489,845.665,705.736,1033.835,816.912,732.798,967.785,578.534,452.054,419.876,447.014,436.277,535.606,445.103,465.745,432.787,497.438,167.897,294.839,182.119,171.734,248.315,168.807,1635.573,1939.541,1845.842,512.84,378.257,265.1,420.542,931.93,1253.93,669.987,1100.604,1384.186,1844.966,1140.985,927.352,451.641,448.08,416.08,588.149,597.749,563.096,576.218,545.35,612.345,1683.367,1774.505,1623.867,1647.219,432.79,424.376,540.324,295.252,309.131,373.204
"Guanajuato, Comonfort",323.008,307.304,308.475,2504.721,1535.512,1813.402,1233.89,1199.66,774.367,883.821,613.898,867.757,834.281,1029.244,945.111,518.726,1157.271,1246.478,1112.953,1163.307,1471.702,1386.53,1514.814,816.346,614.829,65.962,83.618,181.187,72.014,110.856,0.0,380.344,297.979,316.576,309.267,165.062,162.51,292.164,207.523,309.377,445.225,384.975,569.572,184.273,521.767,518.995,343.249,315.795,312.341,231.017,298.832,174.407,260.681,152.915,317.996,283.629,230.68,320.656,132.686,215.611,227.394,167.398,178.048,264.026,263.816,208.298,265.828,353.004,352.196,455.682,611.154,523.873,635.925,696.666,600.88,787.477,793.831,653.902,982.001,765.078,681.651,915.951,526.7,400.22,368.73,395.18,384.443,484.46,393.269,413.911,380.953,445.604,122.588,249.531,136.811,126.426,203.006,123.499,1583.739,1887.707,1794.008,432.14,332.949,148.514,375.234,950.84,1272.84,689.585,1119.514,1403.097,1863.877,1089.151,846.652,370.941,396.246,364.246,537.003,545.915,511.262,524.384,494.203,560.511,1631.533,1722.671,1572.721,1595.385,430.531,443.974,538.066,235.194,306.873,370.945
"Guerrero, Taxco",662.936,647.232,648.403,2779.498,1810.289,2088.179,1064.142,1029.912,1096.233,1205.687,935.763,1189.622,1156.146,1351.109,1266.976,793.503,987.523,1076.73,943.206,993.559,1805.68,1720.508,1848.792,1150.324,948.807,440.621,397.082,521.116,327.328,375.64,380.344,0.0,292.995,311.592,304.283,341.419,370.013,269.808,423.366,610.963,739.885,679.636,864.233,542.734,816.427,813.655,637.91,610.456,79.718,219.905,218.599,238.355,121.277,252.806,63.817,241.895,225.539,59.955,363.058,430.565,442.347,258.421,265.122,478.98,565.401,423.252,490.49,117.065,140.596,750.342,905.815,818.534,930.585,1034.717,938.93,1125.528,622.558,482.629,691.845,593.805,389.198,624.866,385.879,334.448,346.374,321.369,212.184,343.639,370.913,188.397,358.597,357.28,357.895,484.837,335.645,308.424,398.437,303.853,1412.466,1716.434,1622.735,770.191,568.256,486.564,610.541,1245.501,1567.501,984.246,1414.175,1697.757,2158.537,917.878,1184.703,708.992,265.99,283.445,396.182,405.095,488.906,353.111,411.844,389.238,1460.259,1551.398,1401.447,1424.112,776.328,738.635,896.528,625.597,665.334,716.742
"Hidalgo, Real del Monte",580.571,564.868,566.038,2753.671,1784.462,2062.352,1001.547,967.317,1013.357,1122.811,852.888,1106.747,1073.271,1268.234,1184.101,767.676,924.928,1014.135,880.611,930.964,1722.805,1637.633,1765.916,1067.449,865.931,357.745,314.207,438.751,316.691,349.813,297.979,292.995,0.0,19.132,23.063,143.656,154.901,37.222,138.125,568.681,697.603,637.353,821.95,444.638,774.145,771.373,595.627,568.173,199.432,117.899,256.847,210.592,165.142,158.565,221.247,68.024,167.117,223.907,320.776,388.282,400.065,216.138,241.577,436.697,523.119,380.969,448.208,198.369,206.24,708.06,863.532,776.251,888.303,862.842,766.536,1027.113,561.35,421.421,749.52,532.597,449.17,683.47,294.219,126.77,95.28,121.73,151.962,251.979,119.818,181.431,107.503,172.154,259.48,386.423,237.231,210.009,245.256,205.757,1351.258,1655.226,1561.527,671.776,271.595,388.15,285.561,1203.218,1525.218,941.963,1371.892,1655.475,2116.255,856.67,1086.289,610.577,163.765,154.423,304.522,313.434,237.812,291.903,220.753,328.03,1399.052,1490.19,1340.24,1362.904,677.913,696.352,785.784,527.183,567.238,618.327
"Hidalgo, Huasca de Ocampo",599.168,583.465,584.635,2772.268,1803.059,2080.949,1020.144,985.914,1031.954,1141.408,871.485,1125.344,1091.868,1286.831,1202.698,786.273,943.525,1032.732,899.208,949.561,1741.402,1656.23,1784.513,1086.046,884.528,376.342,332.803,457.348,335.287,368.41,316.576,311.592,19.132,0.0,41.723,162.316,173.561,55.882,156.785,587.341,716.263,656.013,840.61,463.298,792.805,790.033,614.287,586.833,218.092,136.559,275.507,229.252,183.802,177.225,239.907,86.684,185.777,242.567,339.436,406.942,418.724,234.798,260.237,455.357,541.779,399.629,466.867,217.029,224.9,726.72,882.192,794.911,906.963,837.451,741.145,1045.773,580.01,440.081,768.18,551.257,467.83,702.13,312.879,101.379,69.889,96.339,170.622,270.639,94.427,200.09,82.112,146.763,278.14,405.083,255.891,228.669,263.916,224.417,1369.918,1673.886,1580.187,690.436,264.777,406.81,278.743,1221.878,1543.878,960.623,1390.552,1674.135,2134.915,875.33,977.218,629.237,182.425,129.032,323.182,332.094,212.421,310.563,195.362,346.69,1417.712,1508.85,1358.9,1381.564,696.573,715.012,804.444,545.843,585.898,636.987
"Hidalgo, Mineral del Chico",591.859,576.156,577.327,2764.959,1795.751,2073.64,1019.795,985.564,1024.645,1134.1,864.176,1118.035,1084.559,1279.522,1195.389,778.964,943.175,1032.383,898.858,949.212,1734.093,1648.921,1777.205,1078.737,877.22,369.034,325.495,450.039,327.979,361.101,309.267,304.283,23.063,41.723,0.0,142.679,153.923,54.144,137.148,585.602,714.525,654.275,838.872,461.56,791.067,788.294,612.549,585.095,216.353,134.821,273.768,227.514,182.064,175.486,238.169,84.946,184.039,240.829,337.697,405.204,416.986,233.06,258.499,453.619,540.04,397.891,465.129,215.29,223.161,724.981,880.454,793.173,905.224,879.763,783.457,1044.035,578.272,438.342,766.442,549.518,466.092,700.391,311.14,143.691,112.201,138.651,168.883,268.901,136.74,198.352,124.424,189.075,276.402,313.132,206.648,179.868,244.278,222.679,1368.18,1672.148,1578.449,688.697,294.346,405.071,308.311,1220.14,1542.14,958.885,1388.814,1672.396,2133.177,873.592,1103.21,627.499,180.686,171.344,321.444,330.356,254.733,308.825,237.675,344.952,1415.973,1507.111,1357.161,1379.826,694.835,713.274,802.705,544.104,584.16,635.249
"Hidalgo, Huichapan",447.654,431.951,433.122,2629.368,1660.159,1938.049,1127.865,1093.635,872.632,982.086,712.163,966.022,932.546,1127.509,1043.376,643.373,1051.246,1140.453,1006.929,1057.282,1582.08,1496.908,1625.192,926.724,725.207,217.021,173.482,305.834,183.774,210.371,165.062,341.419,143.656,162.316,142.679,0.0,31.199,186.39,82.626,434.455,570.302,510.052,694.649,309.35,646.844,644.072,468.326,440.872,231.535,125.243,218.026,142.099,179.876,72.109,237.191,177.856,124.907,239.85,257.763,319.789,331.571,147.645,173.314,368.204,388.893,312.476,379.714,247.231,246.422,580.759,736.231,648.95,761.002,793.368,697.581,884.179,688.057,548.128,876.228,659.304,575.878,810.177,420.926,246.246,214.756,241.206,278.669,378.686,239.295,308.138,226.979,291.63,70.492,171.823,65.338,38.559,102.969,70.469,1477.966,1781.933,1688.234,528.841,255.241,245.215,297.526,1075.917,1397.917,814.662,1244.591,1528.174,1988.954,983.377,943.354,467.642,290.472,258.473,431.229,440.523,357.288,418.611,340.229,454.737,1525.759,1616.897,1466.947,1489.611,534.979,569.051,642.849,384.248,431.95,475.393
"Hidalgo, Tecozautla",445.102,429.399,430.569,2626.815,1657.607,1935.497,1156.459,1122.229,875.88,985.334,715.411,969.27,935.793,1130.756,1046.624,640.821,1079.84,1169.048,1035.523,1085.877,1585.327,1500.155,1628.439,929.972,728.454,220.268,176.729,303.282,181.222,207.818,162.51,370.013,154.901,173.561,153.923,31.199,0.0,210.736,67.765,432.469,568.317,508.067,692.664,307.365,644.859,642.086,466.341,438.887,255.881,149.589,242.372,166.445,204.221,96.455,261.536,202.202,149.253,264.196,255.778,338.703,350.485,171.991,197.66,387.118,386.907,331.39,388.92,271.577,270.768,578.773,734.246,646.965,759.016,793.81,698.023,884.62,712.403,572.474,900.573,683.65,600.223,834.523,445.272,266.181,234.691,261.141,303.015,403.032,259.23,332.484,246.914,311.565,61.669,149.796,39.252,38.352,80.942,94.815,1502.311,1806.279,1712.58,529.283,233.214,245.657,275.5,1073.932,1395.932,812.677,1242.606,1526.188,1986.969,1007.723,943.796,468.084,314.818,282.818,455.575,464.487,377.223,442.956,360.164,479.083,1550.105,1641.243,1491.293,1513.957,535.42,567.066,643.291,384.69,429.965,475.834
"Hidalgo, Zempoala",574.756,559.052,560.223,2747.855,1778.647,2056.537,966.739,932.509,1007.542,1116.996,847.073,1100.932,1067.455,1262.418,1178.286,761.861,890.12,979.327,845.803,896.156,1716.989,1631.818,1760.101,1061.634,860.116,351.93,308.391,432.936,310.875,343.998,292.164,269.808,37.222,55.882,54.144,186.39,210.736,0.0,144.614,559.602,688.524,628.275,812.872,435.56,765.066,762.294,586.549,559.095,175.243,95.155,234.102,201.514,140.953,149.486,197.058,32.355,137.976,199.718,311.697,379.204,390.986,207.06,232.498,427.619,514.04,371.891,439.129,174.18,160.723,698.981,854.454,767.173,879.224,852.054,755.748,1018.035,525.681,385.751,713.851,496.927,413.501,647.8,258.549,115.982,84.492,110.942,116.292,216.309,109.031,145.761,96.715,161.366,250.402,377.344,228.152,200.931,290.944,196.679,1315.589,1619.557,1525.858,662.697,307.147,379.071,321.112,1194.14,1516.14,932.885,1362.814,1646.396,2107.176,821.001,1077.21,601.498,128.095,77.416,268.852,278.146,227.024,256.234,209.965,292.361,1363.382,1454.52,1304.57,1327.235,668.835,687.274,776.705,518.104,558.16,609.249
"Hidalgo, Zimapan",490.115,474.412,475.582,2671.828,1702.62,1980.509,1110.075,1075.845,920.893,1030.347,760.423,1014.282,980.806,1175.769,1091.636,685.833,1033.455,1122.663,989.138,1039.492,1630.34,1545.168,1673.452,974.984,773.467,265.281,221.742,348.295,226.234,252.831,207.523,423.366,138.125,156.785,137.148,82.626,67.765,144.614,0.0,476.934,612.782,552.532,737.129,351.83,689.324,686.552,510.806,483.352,313.929,151.551,300.419,224.492,262.269,154.502,319.584,175.611,163.784,322.244,300.243,383.168,394.951,230.038,255.708,431.583,431.373,375.855,433.385,273.538,304.319,623.239,778.711,691.43,803.482,838.275,742.488,929.086,668.937,529.008,857.107,640.184,556.757,791.057,401.806,241.007,209.517,235.967,259.549,359.566,234.056,289.018,221.741,286.391,87.008,179.651,73.071,120.085,110.797,152.862,1458.845,1762.813,1669.114,573.748,211.803,290.122,225.768,1118.397,1440.397,857.142,1287.071,1570.654,2031.434,964.257,988.261,512.549,271.352,220.673,412.109,421.021,352.05,399.49,334.991,435.617,1506.639,1597.777,1447.827,1470.491,579.886,611.531,687.756,429.155,474.43,520.3
"Jalisco, Mazamitla",346.973,331.27,332.441,2286.62,1317.411,1595.301,1503.319,1469.089,907.785,1045.256,786.965,877.954,1009.636,1195.381,1106.545,133.037,1426.7,1515.907,1382.382,1432.736,1495.668,1251.268,1538.78,840.312,638.795,338.976,416.621,212.996,324.144,297.392,309.377,610.963,568.681,587.341,585.602,434.455,432.469,559.602,476.934,0.0,135.18,168.722,331.615,254.28,283.809,281.037,97.978,140.613,524.804,500.528,511.295,381.576,473.144,437.525,530.459,553.14,458.423,533.119,268.352,321.722,333.504,374.567,385.547,370.137,47.072,253.976,168.975,598.219,597.41,239.428,394.901,307.62,419.672,888.773,819.655,952.179,1062.832,922.902,1251.002,1034.079,950.652,1184.952,795.7,669.22,637.73,664.18,653.443,753.461,662.269,682.912,649.954,714.604,392.67,519.612,406.893,396.507,473.088,413.229,1852.74,2156.708,2063.009,650.915,603.031,440.103,734.1,734.587,1056.587,473.332,903.261,1186.844,1647.624,1358.152,1011.354,589.717,665.246,633.247,806.004,814.916,780.263,793.385,763.204,829.512,1900.533,1991.671,1841.721,1864.386,410.267,251.335,567.938,380.358,292.352,400.818
"Jalisco, Tapalpa",409.755,394.052,395.223,2280.95,1311.742,1589.631,1632.241,1598.011,970.567,1108.038,849.747,940.736,1072.418,1258.162,1169.327,153.05,1555.622,1644.829,1511.305,1561.658,1558.45,1245.599,1601.562,903.094,701.577,453.061,529.372,310.012,453.066,426.314,445.225,739.885,697.603,716.263,714.525,570.302,568.317,688.524,612.782,135.18,0.0,164.653,241.21,313.742,193.404,190.632,131.117,136.544,653.192,628.916,639.683,509.964,601.532,565.913,658.847,681.528,586.81,661.507,396.739,450.11,461.892,502.955,513.935,498.525,163.979,382.364,347.886,726.606,725.798,235.359,390.832,303.551,415.602,948.235,879.118,1011.641,1191.22,1051.29,1379.39,1162.466,1079.04,1313.339,924.088,797.608,766.118,792.568,781.831,881.848,790.657,811.3,778.342,842.992,528.591,655.533,542.813,532.428,609.008,541.616,1981.128,2285.096,2191.397,710.378,829.567,499.565,793.563,730.518,1052.517,469.262,899.192,1182.774,1643.554,1486.54,1070.816,649.179,793.634,761.635,934.391,943.304,908.651,921.773,891.592,957.9,2028.921,2120.059,1970.109,1992.774,406.197,247.265,627.401,439.821,288.283,460.28
"Jalisco, Tequila",346.267,256.301,331.734,2129.514,1160.305,1438.195,1571.991,1537.761,907.079,1044.549,786.259,877.248,1008.93,1194.674,1105.839,236.961,1495.372,1584.579,1451.055,1501.408,1419.276,1094.162,1538.073,839.606,638.088,389.573,465.883,246.524,392.816,366.065,384.975,679.636,637.353,656.013,654.275,510.052,508.067,628.275,552.532,168.722,164.653,0.0,246.434,250.257,198.629,195.857,112.89,71.422,593.583,569.307,580.073,450.354,541.923,506.304,599.238,621.919,527.201,601.898,337.13,390.501,402.283,443.346,454.326,438.916,203.154,322.755,288.277,666.997,666.189,82.13,237.603,150.322,262.373,884.749,815.632,948.155,1131.61,991.681,1319.781,1102.857,1019.431,1253.73,864.479,737.999,706.509,732.959,722.222,822.239,731.048,751.691,718.732,783.383,468.981,595.924,483.204,472.818,549.399,482.007,1921.519,2225.486,2131.788,646.892,766.082,436.08,730.077,577.289,899.289,316.034,745.963,1029.545,1490.325,1426.93,1007.331,585.693,734.025,702.026,874.782,883.694,849.041,862.164,831.983,898.29,1969.312,2060.45,1910.5,1933.164,332.321,173.389,563.915,376.335,224.797,396.795
"Jalisco, San Sebastian del Oeste",530.864,440.898,516.331,2199.215,1230.006,1507.896,1756.588,1722.358,1091.676,1161.562,970.856,1006.429,1193.527,1379.271,1290.436,403.829,1679.969,1769.177,1635.652,1686.006,1488.977,1163.863,1667.255,968.787,739.917,574.17,650.48,431.121,577.414,550.662,569.572,864.233,821.95,840.61,838.872,694.649,692.664,812.872,737.129,331.615,241.21,246.434,0.0,434.765,47.957,77.22,276.054,255.931,778.091,753.815,764.582,634.863,726.431,690.813,783.746,806.427,711.71,786.406,521.639,575.009,586.792,627.854,638.834,623.424,356.469,507.264,472.786,851.506,850.697,118.172,96.537,182.187,334.747,1069.258,1000.141,1132.664,1316.119,1176.19,1504.289,1287.366,1203.939,1438.239,1048.988,922.508,891.018,917.468,906.73,1006.748,915.557,936.199,903.241,967.892,653.49,780.432,667.713,657.327,733.908,666.516,2106.027,2409.995,2316.296,831.401,950.59,620.588,914.586,649.662,971.662,388.407,818.336,1101.919,1562.699,1611.439,1191.839,770.202,918.534,886.534,1059.291,1068.203,1033.55,1046.672,1016.491,1082.799,2153.82,2244.959,2095.008,2117.673,516.829,357.898,748.424,560.843,409.306,581.303
"Jalisco, Lagos de Moreno",130.168,138.368,139.538,2368.169,1398.96,1676.85,1379.276,1345.046,739.734,849.188,579.265,685.052,799.647,994.61,910.478,386.051,1302.657,1391.864,1258.34,1308.693,1302.766,1217.594,1345.878,647.41,445.893,161.03,217.282,70.384,207.352,186.531,184.273,542.734,444.638,463.298,461.56,309.35,307.365,435.56,351.83,254.28,313.742,250.257,434.765,0.0,386.892,384.12,211.613,180.92,459.303,377.979,445.794,339.754,407.643,299.876,464.958,430.591,377.642,467.618,209.414,292.339,304.121,332.746,343.726,340.754,209.436,285.026,247.017,499.966,499.158,320.807,476.28,388.998,501.05,662.555,566.768,753.366,940.793,800.863,1128.963,912.04,828.613,1062.913,673.661,547.182,515.691,542.141,531.404,631.422,540.23,560.873,527.915,592.565,269.55,426.877,283.773,273.387,349.968,270.46,1730.701,2034.669,1940.97,398.028,517.218,187.216,481.214,815.965,1137.965,554.71,984.639,1268.222,1729.002,1236.113,812.541,336.83,543.207,511.208,683.965,692.877,658.224,671.346,641.165,707.473,1778.494,1869.633,1719.682,1742.347,263.501,290.531,371.036,127.471,139.842,203.915
"Jalisco, Mascota",483.059,393.092,468.526,2303.151,1333.942,1611.832,1708.783,1674.553,1043.871,1181.341,923.05,1014.04,1145.721,1331.466,1242.631,356.024,1632.164,1721.371,1587.847,1638.2,1631.753,1267.799,1674.865,976.398,774.88,526.364,602.675,383.316,529.608,502.856,521.767,816.427,774.145,792.805,791.067,646.844,644.859,765.066,689.324,283.809,193.404,198.629,47.957,386.892,0.0,29.319,228.153,208.029,730.189,705.913,716.68,586.961,678.53,642.911,735.845,758.526,663.808,738.504,473.737,527.108,538.89,579.953,590.933,575.523,308.567,459.362,424.884,803.604,802.795,250.84,126.315,211.965,431.083,1021.356,952.239,1084.762,1268.217,1128.288,1456.387,1239.464,1156.037,1390.337,1001.086,874.606,843.116,869.566,858.829,958.846,867.655,888.298,855.339,919.99,605.588,732.531,619.811,609.425,686.006,618.614,2058.125,2362.093,2268.394,783.499,902.688,572.687,866.684,745.998,1067.998,484.743,914.672,1198.255,1659.035,1563.537,1143.937,722.3,870.632,838.632,1011.389,1020.301,985.648,998.771,968.589,1034.897,2105.919,2197.057,2047.107,2069.771,468.928,309.996,700.522,512.942,361.404,533.401
"Jalisco, Talpa de Allende",480.286,390.32,465.754,2300.378,1331.17,1609.059,1706.011,1671.781,1041.098,1178.569,920.278,1011.267,1142.949,1328.693,1239.858,353.252,1629.391,1718.599,1585.074,1635.428,1628.981,1265.026,1672.093,973.625,772.108,523.592,599.903,380.543,526.836,500.084,518.995,813.655,771.373,790.033,788.294,644.072,642.086,762.294,686.552,281.037,190.632,195.857,77.22,384.12,29.319,0.0,225.292,205.168,727.328,703.052,713.819,584.1,675.669,640.05,732.984,755.664,660.947,735.643,470.876,524.246,536.029,577.091,588.071,572.661,305.706,456.501,422.023,800.743,799.934,247.978,155.381,316.17,428.222,1018.495,949.378,1081.901,1265.356,1125.427,1453.526,1236.603,1153.176,1387.476,998.225,871.745,840.255,866.705,855.968,955.985,864.794,885.436,852.478,917.129,602.727,729.669,616.95,606.564,683.145,615.753,2055.264,2359.232,2265.533,780.638,899.827,569.826,863.823,743.137,1065.137,481.882,911.811,1195.394,1656.174,1560.676,1141.076,719.439,867.771,835.771,1008.528,1017.44,982.787,995.909,965.728,1032.036,2103.058,2194.196,2044.246,2066.91,466.067,307.135,697.661,510.081,358.543,530.54
"Jalisco, Ajijic",307.78,292.076,293.247,2230.803,1261.594,1539.484,1530.265,1496.035,868.592,1006.062,747.771,838.761,970.442,1156.187,1067.352,203.425,1453.646,1542.854,1409.329,1459.683,1456.474,1195.451,1499.586,801.119,599.601,351.085,427.396,208.037,351.091,324.339,343.249,637.91,595.627,614.287,612.549,468.326,466.341,586.549,510.806,97.978,131.117,112.89,276.054,211.613,228.153,225.292,0.0,50.399,546.482,522.206,532.973,403.254,494.822,459.204,552.138,574.818,480.101,554.797,290.03,343.4,355.183,396.245,407.225,391.815,123.583,275.655,241.177,619.897,619.088,184.023,339.496,252.215,364.266,841.525,772.408,904.931,1084.51,944.581,1272.68,1055.757,972.33,1206.63,817.379,690.899,659.409,685.859,675.122,775.139,683.948,704.59,671.632,736.283,421.881,548.823,436.104,425.718,502.299,434.907,1874.418,2178.386,2084.687,603.668,722.858,392.856,686.853,679.182,1001.182,417.927,847.856,1131.438,1592.218,1379.83,964.107,542.469,686.925,654.925,827.682,836.594,801.941,815.063,784.882,851.19,1922.211,2013.35,1863.4,1886.064,413.156,184.749,520.691,333.111,181.573,353.571
"Jalisco, Tlaquepaque",277.087,261.383,262.554,2189.335,1220.126,1498.016,1502.811,1468.581,837.899,975.369,717.079,808.068,939.749,1125.494,1036.659,208.852,1426.192,1515.399,1381.875,1432.228,1425.781,1153.983,1468.893,770.426,568.908,320.393,396.703,177.344,323.636,296.885,315.795,610.456,568.173,586.833,585.095,440.872,438.887,559.095,483.352,140.613,136.544,71.422,255.931,180.92,208.029,205.168,50.399,0.0,524.318,500.042,510.809,381.09,472.658,437.039,529.973,552.654,457.937,532.633,267.866,321.236,333.019,374.081,385.061,369.651,133.89,253.49,219.013,597.733,596.924,142.119,297.591,210.31,322.362,815.485,746.367,878.891,1062.346,922.416,1250.516,1033.593,950.166,1184.466,795.214,668.734,637.244,663.694,652.957,752.975,661.783,682.426,649.468,714.118,399.717,526.659,413.939,403.554,480.135,412.743,1852.254,2156.222,2062.523,577.627,696.817,366.815,660.812,637.277,959.277,376.022,805.951,1089.534,1550.314,1357.666,938.066,516.429,664.76,632.761,805.518,814.43,779.777,792.899,762.718,829.026,1900.047,1991.186,1841.235,1863.9,296.722,137.79,494.65,307.07,155.533,327.53
"Mexico, Malinalco",594.933,579.23,580.4,2711.495,1742.287,2020.176,1068.997,1034.767,1028.23,1137.684,867.761,1121.62,1088.143,1283.106,1198.974,725.5,992.378,1081.585,948.06,998.414,1737.677,1652.506,1780.789,1082.322,880.804,372.618,329.079,453.113,259.325,307.637,312.341,79.718,199.432,218.092,216.353,231.535,255.881,175.243,313.929,524.804,653.192,593.583,778.091,459.303,730.189,727.328,546.482,524.318,0.0,137.845,150.904,170.66,53.581,185.111,48.833,146.935,157.844,51.493,295.363,362.87,374.652,190.726,197.427,411.285,497.706,355.557,422.795,86.363,109.893,682.647,838.12,750.838,862.89,967.022,871.235,1057.833,627.758,487.829,760.687,599.005,394.398,693.708,391.079,282.904,251.414,277.864,217.384,348.84,275.953,193.597,263.637,328.288,290.2,417.142,267.95,240.729,330.742,236.158,1417.666,1721.634,1627.935,702.495,500.56,418.869,542.846,1177.806,1499.805,916.55,1346.48,1630.062,2090.842,923.078,1117.008,641.297,271.19,250.129,401.382,410.295,393.946,358.311,376.888,394.438,1465.46,1556.598,1406.648,1429.312,708.633,670.94,828.832,557.902,597.639,649.047
"Mexico, Tepotzotlan",513.609,497.906,499.076,2687.219,1718.01,1995.9,1029.584,995.354,946.395,1055.849,785.926,1039.785,1006.309,1201.272,1117.139,701.224,952.965,1042.172,908.648,959.001,1655.843,1570.671,1698.955,1000.487,798.97,290.784,247.245,371.789,249.729,283.361,231.017,219.905,117.899,136.559,134.821,125.243,149.589,95.155,151.551,500.528,628.916,569.307,753.815,377.979,705.913,703.052,522.206,500.042,137.845,0.0,158.302,141.936,86.587,89.391,142.692,69.505,58.136,145.352,252.12,319.626,331.408,147.482,172.921,368.041,454.463,312.313,379.551,124.977,124.168,639.404,794.876,707.595,819.647,867.129,771.342,957.939,577.536,437.606,765.706,548.783,465.356,699.656,332.159,205.474,173.984,200.434,168.147,289.919,198.523,197.616,186.207,250.858,190.306,317.249,168.057,140.836,230.849,136.583,1367.444,1671.412,1577.713,602.602,400.667,318.976,442.952,1134.562,1456.562,873.307,1303.236,1586.819,2047.599,872.856,1017.115,541.403,201.705,169.706,342.462,351.374,316.516,308.089,299.457,344.216,1415.237,1506.376,1356.425,1379.09,608.739,627.696,716.61,458.009,498.064,549.154
